,video_tiktok_id
731353,7120473976245161222
760556,7223414002901093675
84287,7214346149149314309
12914,7132183143070747950
491851,7210857052783021355
502140,6980091692200234246
760204,7214087454826024218
744329,7133675968820153646
20457,7231516271622524206
517437,7223517832498269486
345741,7226059889339321646
468883,7200501305104698650
202550,7121850895704313130
468888,7213109429749976325
672363,7215269265132276997
468882,7203596956185251099
759799,7200501529927879978
336037,7225859080110214443
757720,6889870901601406214
244130,7146634661588946182
250851,7205400255209344261
744332,7170408673666288942
723676,7222665333558021382
88587,7213266879144676634
240090,6816481374694919430
345740,7210649549516393770
698515,7209242785931742469
49168,7151632604695989547
590,7102861046112734469
761345,7230906261523402027
731398,7132068260899540226
691664,6869020701555281158
631236,6984507683818753286
376011,7211160055364799749
2666,7213285249378176299
732401,7223756568687447342
366589,7207822175280057606
463485,7103216138766667013
699133,7016068656136424751
92153,7026417610250013998
180771,7084646025457077550
517626,7203782736514075950
84951,7147862901183761707
307087,6940496360080805126
672375,7222160214974287150
598565,7213793903122681093
323314,7224576317746908421
274710,7215360413922331910
561513,7224534820544646443
688478,7213534968448830725
759274,7229556947836751150
488092,7091780714454224174
156140,6982314475579837701
666446,7224897893331668229
200102,7031293679256079622
101969,7223851385824005418
365914,7213424584228490501
159638,7209767849944993032
746878,6937466637821971718
373402,7103711526917524782
672606,7226052615094979886
761359,7216785876720930091
755872,7114122183663766830
744638,6988501485529107738
738169,7204611328361712938
356201,7221922411510516997
56479,7192254512755789062
754376,7221887582630612251
732333,7225018184166935850
84272,6997093120060050715
709715,7224927976310312218
63152,7215457154336115973
672521,7150903889242508570
408545,6984383421816507654
514066,6971596873807236358
759509,7222378641567649029
468885,7010111839824514331
760637,7073493056166644997
318850,7203140887537405227
410006,7028773468862778671
129998,7120615530872016133
88589,7113186712280370458
729126,6950076116782664965
545197,6950387833207082245
760569,7164965151605591342
2678,7200095046538923306
105585,7118520883215453482
725482,7185555040508333317
505624,7209976328248954117
62281,7024602228593937669
467066,7185361870327663918
427707,7068403614250880302
493242,7149947772706262278
323316,7229821602374946054
94546,7220467951349108014
563967,7168647595823205675
672690,7199529838313557290
627727,6984511126188870918
428818,7225752753920838955
759931,7207569896404815109
759939,7075693807840398598
430154,7223868010925280539
665096,7220496415519165702
318842,7227239328303385899
736995,7185225930514697514
757807,7229186173179038978
709712,7112552904552172805
716564,7174919323071368490
732874,7171573295303625990
727406,7165642640963259691
691930,6824952649784315142
561509,7208964332103666987
759422,7200096680044285226
672520,7146450770391469338
682592,7195731266849787141
753426,7207489655850290437
761215,7076816818089872646
231250,7233094247610699051
710714,7110517978025708806
706739,7229480628226460974
365182,7198652071476759813
717262,7216555877224942890
761212,7178586705748839722
256166,7216017874354294022
753123,7225350608243494170
180767,7074291123371543854
84271,7001937796931898650
724200,7134794808140270891
664720,7016185032242892037
2726,7204515196470037802
717263,7163012989782756654
731322,7125824340762905861
759577,7216501472991874350
672504,7224385007912111361
690001,6943653443198323973
348119,7219013568438553902
623711,7224945613727878446
702271,7099914019011743022
631229,7099899247365082373
545506,7164773908510543109
318852,7105175521117441326
761580,7219369088097750315
758992,7197590673019718954
692608,7016499035825655046
