,video_tiktok_id
1369521,7234912423617006890
1112038,7233528482918141190
1081585,7080911262414081286
26385,7114721631238507782
275678,6945212509083192581
1363623,6902156085398932741
68579,6981846580508871942
1453263,7223752379483589894
1397773,7226090376786955566
1429060,7081022044762049835
828998,7230969435903790379
1414587,7212854473293679915
1038042,6918902491606174982
1450460,6902709679315553537
1434328,7188813304079322373
1404145,7159908684582227246
1452223,7230920794090638619
1334703,7087324049063349509
1446504,6960113392392785158
1369517,7108496614918081835
1142957,6985976340084296965
1303934,7103160307282889985
1307322,7173241269810941210
305706,7230813964014292226
470007,6824952554313501957
394900,271784026431070208
1369904,7236775868884929798
1336641,7215955429078158618
1419201,7234499831635496218
1350855,7237594520219733294
1138684,7235338270014590250
1139201,7091667011406712070
1409445,7172097846118731014
1161407,7112165183082106158
1127113,7230341491451825409
1404144,7159234443239050542
556397,7210796474450349317
548839,7216686993764322566
1337130,7233151232116821254
1452127,7224265893084138798
1184202,7202366452299517190
1453684,7221659378217143579
1409723,7198392629397081349
1171026,7106698485604338950
1446946,7225791241508703494
1118925,7118922516168527147
1319413,7087077312759434501
763529,7151152885580221742
1034203,7205008337560194347
1167634,7229911825331113218
822606,7105121612009180422
382591,7187883996481654058
51821,7186392682338536750
340023,7185555116555013382
1369522,7235400128646057262
94271,6975237274896190725
1034202,7200927698015915310
536416,6811939487430561030
831207,7229090996510870830
1117966,7054714129721920774
974182,6964829529265147142
702867,7236301353599929606
1377187,7094759528658423067
1070353,6948066478620970246
1450982,7241460170117713195
1027879,6954344278030028037
141853,7039067364574498054
831680,6950358472655490309
1434198,7202038984166493446
1114950,7139743083171728645
1429809,7211656730210569518
1367336,7000798136029449477
1370778,7096443667241504046
533401,6895589530208881922
233145,7160759096428334382
89182,7210170003658689798
24043,6817467204938861829
1138779,7237082971939933446
1337508,7239378724708306182
831602,7176079090456218923
1389601,7201511571246337285
1072701,7177914940194606382
339487,7193427476155010309
252031,7075657966162152705
432988,7089142427239370026
1369482,7221952494103137579
174286,7187972507155090734
706592,6933006185234795781
1344991,7235807377105243397
1444534,7230374766048480558
1170312,7046724794007735598
1139124,7163149752966597934
495724,7102183955603967258
1453267,7226741592546233606
294066,7223579511911189802
1141598,7232832015408647429
1346594,7020590829941050630
1172102,7124332337021668650
910087,7004346831668792581
1292054,6812973982480977158
1342300,7027892912100855046
1451440,7228394889678114094
1096548,7217893437465431302
1290807,7210264895256939819
329070,6900979673421974790
1145639,7051234065072033030
1367570,6970885325556092165
1112742,7049867200139693318
1042852,7003510540681252102
1452558,7080397752990960939
996403,7108000493351357739
859627,6816850380119346437
71290,6978180862827400453
1400860,7209453973630127366
1451229,6974764645223501061
728805,7220542878999694634
233297,7163761589726743813
386593,6965517957313219846
737196,7225217840024915243
1426694,7100175302579588378
1119488,7201185947373980974
161239,7024396937612823810
737189,7227485831160778026
1400437,7116148903073942830
897423,7012381537429671174
801879,7214533098426404123
641781,6888143661238947077
1341952,7011526804322127109
1446947,7222890611316116742
1109307,7098452493302058286
1453565,6550927683004404751
251984,6948878314475998465
1347669,7196358641690103082
1367691,7134713278613261610
780378,7239994778153143578
33706,6964892969723792646
1450973,7226126172835581230
1444964,7224639964342914309
1376688,6932455268567567621
1369504,7213502368124538154
1393838,6819442320702803205
1128399,210692405455491072
1139505,7171936682738994438
622231,7231556127341792518
737181,7223856261983440170
1051718,6816512227500133638
1337568,6949633024573066502
578129,6980823458473184518
252028,6956686636059036930
882065,7031656651677617455
332656,7065427887779761413
685227,7158269804862803242
437416,7141148944016592174
996401,7108512943272103214
840024,7074311316332104966
